Area,"Unrepresented Rate","Unrepresented Votes",Votes
"苗栗縣第02選區",0.2835,47022,165880
"臺南市第02選區",0.3192,67696,212095
"屏東縣第03選區",0.3335,46878,140563
"新北市第11選區",0.3343,66506,198932
"高雄市第04選區",0.3518,60351,171539
"臺北市第08選區",0.3657,67975,185867
"臺南市第01選區",0.3691,70581,191204
"臺北市第07選區",0.3703,67046,181055
"新竹縣第01選區",0.3830,106437,277903
"臺南市第03選區",0.3833,86583,225884
"雲林縣第02選區",0.3902,77649,199017
"桃園縣第06選區",0.3965,67373,169901
"南投縣第01選區",0.3973,51476,129559
"臺北市第06選區",0.3997,72244,180732
"臺中市第02選區",0.4020,79730,198315
"新北市第02選區",0.4127,80188,194279
"屏東縣第01選區",0.4179,67881,162419
"桃園縣第04選區",0.4180,76003,181830
"臺中市第05選區",0.4213,94519,224341
"臺中市第03選區",0.4247,73390,172790
"苗栗縣第01選區",0.4318,63004,145906
"臺北市第03選區",0.4393,92840,211343
"彰化縣第03選區",0.4410,79969,181321
"高雄市第05選區",0.4425,73055,165098
"臺北市第01選區",0.4435,89699,202270
"彰化縣第02選區",0.4453,77158,173266
"桃園縣第01選區",0.4465,82820,185468
"臺北市第05選區",0.4475,81224,181516
"嘉義縣第02選區",0.4480,70477,157305
"臺中市第01選區",0.4546,68066,149735
"南投縣第02選區",0.4568,66447,145455
"高雄市第01選區",0.4569,75627,165540
"桃園縣第03選區",0.4615,83684,181338
"澎湖縣第01選區",0.4656,20756,44579
"新北市第06選區",0.4661,75179,161298
"高雄市第07選區",0.4663,85918,184259
"新竹市第01選區",0.4673,106869,228717
"臺南市第04選區",0.4697,102266,217705
"高雄市第06選區",0.4720,72842,154319
"新北市第05選區",0.4722,81295,172151
"基隆市第01選區",0.4761,100125,210321
"臺南市第05選區",0.4777,110113,230514
"高雄市第08選區",0.4803,96402,200694
"臺中市第06選區",0.4822,90034,186719
"宜蘭縣第01選區",0.4831,118971,246274
"屏東縣第02選區",0.4850,75986,156682
"臺中市第04選區",0.4889,97303,199005
"新北市第04選區",0.4892,98809,201974
"新北市第01選區",0.4922,104522,212343
"雲林縣第01選區",0.4956,89213,180024
"高雄市第02選區",0.4958,95203,192021
"嘉義縣第01選區",0.4969,72586,146067
"臺中市第07選區",0.4970,99793,200799
"彰化縣第04選區",0.4976,91207,183292
"桃園縣第02選區",0.4979,91250,183285
"臺北市第02選區",0.4995,99042,198271
"連江縣第01選區",0.5001,2529,5057
"新北市第03選區",0.5074,98529,194178
"新北市第09選區",0.5116,94049,183816
"嘉義市第01選區",0.5118,75828,148171
"高雄市第03選區",0.5128,106361,207416
"臺北市第04選區",0.5177,119435,230695
"新北市第08選區",0.5178,108638,209799
"新北市第10選區",0.5233,98315,187885
"桃園縣第05選區",0.5470,94806,173310
"臺中市第08選區",0.5523,85284,154420
"花蓮縣第01選區",0.5529,71174,128731
"新北市第07選區",0.5569,92618,166304
"新北市第12選區",0.5792,101808,175761
"臺東縣第01選區",0.5840,44485,76170
"高雄市第09選區",0.6157,113120,183720
"彰化縣第01選區",0.6479,115972,178998
"金門縣第01選區",0.6704,25294,37729
(Total),0.4601,5955527,12943139
