Area,"Unrepresented Rate","Unrepresented Votes",Votes
"嘉義縣選舉區",0.0850,19867,233647
"宜蘭縣選舉區",0.1145,19558,170767
"屏東縣選舉區",0.1473,57316,389174
"臺北市第2選區",0.1879,109791,584449
"彰化縣選舉區",0.2011,119275,593242
"桃園縣選舉區",0.2194,140021,638291
"臺北市第1選區",0.2302,138674,602350
"新竹市選舉區",0.2447,32184,131502
"臺中縣選舉區",0.2530,161537,638502
"新竹縣選舉區",0.2723,46210,169713
"雲林縣選舉區",0.2737,94257,344426
"高雄市第1選區",0.2876,104062,361828
"臺南縣選舉區",0.2917,144568,495634
"臺中市選舉區",0.2933,103644,353416
"苗栗縣選舉區",0.3002,81390,271135
"南投縣選舉區",0.3114,68850,221102
"臺北縣選舉區",0.3269,462540,1414946
"高雄縣選舉區",0.3304,179831,544208
"臺南市選舉區",0.3365,107407,319203
"澎湖縣選舉區",0.3415,13511,39566
"高雄市第2選區",0.3702,110640,298895
"連江縣選舉區",0.4401,1370,3113
"金門縣選舉區",0.4726,9893,20934
"花蓮縣選舉區",0.4794,53761,112149
"嘉義市選舉區",0.4829,62597,129626
"基隆市選舉區",0.5640,90475,160412
"臺東縣選舉區",0.5806,40138,69137
(Total),0.2764,2573367,9311367
