Area,"Unrepresented Rate","Unrepresented Votes",Votes
"臺北縣第2選區",0.2020,121368,600959
"臺中市選舉區",0.2053,88814,432572
"南投縣選舉區",0.2155,53272,247254
"新竹縣選舉區",0.2274,46417,204107
"臺南市選舉區",0.2437,80006,328303
"桃園縣選舉區",0.2477,194865,786642
"彰化縣選舉區",0.2858,175605,614430
"基隆市選舉區",0.2874,49462,172074
"臺中縣選舉區",0.2914,192831,661669
"屏東縣選舉區",0.2922,119719,409774
"高雄縣選舉區",0.2945,170462,578730
"臺北縣第3選區",0.2990,175579,587252
"雲林縣選舉區",0.3036,102762,338424
"臺北市第1選舉區",0.3070,190083,619102
"臺北縣第1選區",0.3086,153788,498262
"宜蘭縣選舉區",0.3100,63260,204046
"臺北市第2選舉區",0.3112,187419,602200
"臺南縣選舉區",0.3149,167821,532857
"高雄市第1選區",0.3521,137383,390190
"嘉義市選舉區",0.3767,45197,119970
"高雄市第2選區",0.3797,115384,303904
"嘉義縣選舉區",0.3797,99364,261700
"新竹市選舉區",0.3812,61674,161768
"苗栗縣選舉區",0.3902,101101,259114
"花蓮縣選舉區",0.4271,50373,117947
"連江縣選舉區",0.4363,1986,4552
"澎湖縣選舉區",0.4619,18488,40022
"臺東縣選舉區",0.5748,40901,71156
"金門縣選舉區",0.5887,14733,25025
(Total),0.2968,3020117,10174005
