Area,"Unrepresented Rate","Unrepresented Votes",Votes
(Total),0.2319,2220307,9572532
"金門縣選舉區",0.4593,10309,22446
"連江縣選舉區",0.4374,1947,4451
"花蓮縣選舉區",0.4255,40750,95768
"澎湖縣選舉區",0.4013,15183,37833
"臺東縣選舉區",0.3841,23810,61988
"新竹縣選舉區",0.3642,68582,188287
"彰化縣選舉區",0.3388,217801,642945
"雲林縣選舉區",0.3184,111380,349862
"嘉義縣選舉區",0.2843,71143,250266
"南投縣選舉區",0.2831,61071,215726
"臺南縣選舉區",0.2761,140298,508166
"桃園縣選舉區",0.2638,194377,736843
"高雄市第2選區",0.2636,71820,272505
"新竹市選舉區",0.2551,37508,147028
"嘉義市選舉區",0.2394,24706,103207
"屏東縣選舉區",0.2283,89911,393749
"臺北市第1選舉區",0.2232,136042,609374
"臺北市第2選舉區",0.2211,130064,588245
"高雄縣選舉區",0.2124,115782,545184
"苗栗縣選舉區",0.2112,50656,239807
"高雄市第1選區",0.1998,72658,363585
"臺北縣第1選區",0.1988,85784,431598
"基隆市選舉區",0.1834,27627,150669
"臺中縣選舉區",0.1812,114564,632372
"宜蘭縣選舉區",0.1799,33212,184661
"臺北縣第3選區",0.1761,93595,531382
"臺南市選舉區",0.1750,55448,316895
"臺北縣第2選區",0.1454,79887,549524
"臺中市選舉區",0.1115,44392,398166
