Area,"Unrepresented Rate","Unrepresented Votes",Votes
"臺南市第02選區",0.2353,45053,191467
"高雄市第04選區",0.2447,39751,162473
"臺南市第05選區",0.2795,59578,213131
"臺南市第03選區",0.2862,59748,208750
"臺南市第01選區",0.2878,47616,165458
"屏東縣第01選區",0.3000,43678,145572
"新北市第02選區",0.3125,56057,179356
"雲林縣第02選區",0.3183,56549,177663
"連江縣第01選區",0.3193,1373,4300
"嘉義縣第02選區",0.3482,47295,135833
"臺東縣第01選區",0.3582,23616,65933
"高雄市第02選區",0.3676,64428,175247
"臺中市第07選區",0.3693,69725,188823
"新北市第04選區",0.3701,68590,185313
"高雄市第09選區",0.3943,65654,166516
"高雄市第07選區",0.3950,63468,160696
"臺中市第01選區",0.3986,55912,140267
"高雄市第05選區",0.4056,60397,148903
"臺北市第02選區",0.4071,73718,181084
"高雄市第08選區",0.4087,76212,186488
"高雄市第01選區",0.4098,60704,148136
"高雄市第06選區",0.4106,58518,142504
"臺南市第04選區",0.4110,81864,199166
"新北市第10選區",0.4150,72956,175810
"彰化縣第04選區",0.4276,71367,166885
"南投縣第02選區",0.4335,56237,129722
"彰化縣第01選區",0.4380,72003,164376
"新北市第05選區",0.4389,72144,164381
"臺中市第06選區",0.4426,76007,171732
"澎湖縣第01選區",0.4460,18602,41709
"南投縣第01選區",0.4523,52521,116121
"新北市第03選區",0.4546,80471,177028
"嘉義市第01選區",0.4605,63132,137097
"臺中市第03選區",0.4613,80025,173476
"花蓮縣第01選區",0.4623,54363,117594
"雲林縣第01選區",0.4627,75256,162634
"宜蘭縣第01選區",0.4632,103888,224281
"新北市第08選區",0.4633,86802,187345
"新北市第07選區",0.4639,71422,153966
"屏東縣第03選區",0.4648,58401,125661
"高雄市第03選區",0.4649,88856,191111
"新北市第01選區",0.4672,96681,206924
"嘉義縣第01選區",0.4704,64362,136831
"臺中市第04選區",0.4723,90067,190716
"新北市第06選區",0.4739,69552,146775
"屏東縣第02選區",0.4745,68815,145019
"新北市第09選區",0.4756,75061,157822
"新北市第12選區",0.4848,75758,156266
"臺中市第05選區",0.4848,102055,210501
"新北市第11選區",0.4900,90264,184226
"臺北市第01選區",0.4918,92856,188807
"桃園市第02選區",0.4983,89196,178988
"桃園市第04選區",0.4995,86253,172666
"苗栗縣第02選區",0.5010,73527,146761
"臺北市第08選區",0.5031,84962,168893
"臺中市第08選區",0.5038,73139,145163
"臺北市第05選區",0.5048,84245,166895
"桃園市第01選區",0.5275,95944,181899
"臺北市第03選區",0.5332,102416,192089
"臺中市第02選區",0.5335,106904,200399
"桃園市第06選區",0.5347,87656,163934
"臺北市第06選區",0.5390,86545,160560
"金門縣第01選區",0.5492,19917,36267
"彰化縣第02選區",0.5493,89244,162471
"臺北市第07選區",0.5495,90825,165280
"桃園市第03選區",0.5529,95840,173345
"彰化縣第03選區",0.5542,93976,169585
"桃園市第05選區",0.5614,93393,166358
"苗栗縣第01選區",0.5774,77021,133394
"臺北市第04選區",0.5826,125088,214700
"基隆市第01選區",0.5855,111162,189869
"新竹市第01選區",0.5867,128669,219311
"新竹縣第01選區",0.6325,160932,254427
(Total),0.4536,5416282,11941149
